,xaxis,yaxis,roomspace,price,is_total,numbed,numdining,numbath,is_new,two_bathroom,decoration,is_subway_house,rent_period_month,deposit_1_pay_1,is_key,central_heating
70,116.47448999999999,39.897723,47,6900,1.0,1,0,1,0,0,1,1,0,0,1,1
71,116.377572,40.039146,41,5000,1.0,1,0,1,0,0,1,1,0,0,1,1
72,116.65810400000001,39.8932,45,3600,1.0,1,0,1,0,0,1,1,0,0,1,1
73,116.24700800000001,39.906426,71,6000,1.0,1,1,1,0,0,0,1,0,0,1,1
74,116.38333200000001,39.962892,48,6100,,1,1,1,0,0,0,1,0,0,1,1
75,116.476447,39.903804,55,7800,1.0,1,0,1,1,0,1,1,0,0,1,1
76,116.442298,39.970551,46,5500,,1,1,1,0,0,0,1,0,0,1,1
77,116.352299,40.062427,47,5100,,1,1,1,1,0,0,1,0,0,1,1
78,116.343245,39.900529,30,3700,1.0,1,0,1,1,0,1,1,0,0,1,1
79,116.473169,39.994603000000005,65,7500,1.0,1,1,1,1,0,1,1,0,0,1,0
80,116.34498500000001,39.891739,47,5200,1.0,1,1,1,1,0,1,1,0,0,1,0
81,116.39021299999999,39.989129,49,5000,1.0,1,1,1,1,0,1,1,1,0,1,1
82,116.24700800000001,39.906426,70,5800,,1,1,1,1,0,0,1,0,0,1,1
83,116.33330600000001,39.891490999999995,73,6900,1.0,1,1,1,1,0,1,1,0,0,1,1
84,116.36465,39.980548999999996,60,8500,1.0,1,1,1,1,0,1,1,0,0,1,1
85,116.491703,39.929224,61,6200,1.0,1,1,1,1,0,1,1,0,0,1,1
86,116.328627,39.979037,49,7000,1.0,1,1,1,1,0,0,1,0,0,1,1
87,116.36263500000001,39.982803000000004,42,6500,,1,1,1,1,0,0,1,0,0,1,1
88,116.43268300000001,39.973614000000005,31,5300,1.0,1,1,1,1,0,0,1,0,0,1,1
89,116.493333,39.967187,45,6700,1.0,1,0,1,1,0,1,1,0,0,1,1
90,116.455099,39.978117,54,8000,1.0,1,1,1,1,0,1,1,0,0,1,0
91,116.651427,39.902087,51,3600,1.0,1,0,1,1,0,1,1,0,0,1,1
92,116.481925,39.929322,38,5400,1.0,1,1,1,1,0,0,1,0,0,1,1
93,116.52946599999999,39.928033,47,9500,1.0,1,1,2,1,1,1,1,0,0,1,1
94,116.349984,39.992769,44,6000,,1,1,1,1,0,0,1,0,0,1,1
95,116.487649,39.985143,38,5300,1.0,1,1,1,1,0,0,1,0,0,1,1
96,116.408697,40.010801,39,6200,1.0,1,0,1,1,0,1,1,0,0,1,1
97,116.483602,39.893412,43,6000,1.0,1,0,1,1,0,0,1,0,0,1,1
98,116.37178700000001,39.905909,43,6500,,1,1,1,1,0,0,1,0,0,1,1
99,116.46615,39.963231,72,9800,1.0,1,1,1,1,0,1,1,0,0,1,1
100,116.43541299999998,39.946591,54,7300,1.0,1,1,1,1,0,0,1,0,0,1,1
101,116.47136,40.012307,47,8200,1.0,1,0,1,1,0,1,1,0,0,1,1
102,116.566103,39.92841,39,4500,1.0,1,0,1,1,0,0,1,0,0,1,1
103,116.192778,39.9147,62,5100,,1,0,1,1,0,0,1,0,0,1,1
104,116.47534099999999,39.880705,43,4800,1.0,1,1,1,1,0,1,1,0,0,1,1
105,116.24700800000001,39.906426,60,5500,1.0,1,1,1,1,0,1,1,0,0,1,1
106,116.463494,39.955288,33,6300,,1,1,1,1,0,0,1,0,0,1,1
107,116.352899,39.889225,40,5900,1.0,1,1,1,1,0,1,1,0,0,1,1
