,names,district,location,xaxis,yaxis,roomspace,orientation,numrooms,height,floors,owner,postdate,price,is_total,numbed,numdining,numbath,is_new,two_bathroom,decoration,is_subway_house,rent_period_month,deposit_1_pay_1,is_key,central_heating
22,整租 ·   建设部大院 白石桥地铁 一居室 中间楼层,海淀,甘家口,116.338384,39.934691,43,东,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",中楼层,6,链家,23天前发布,7600,1.0,1,1,1,0,0,0,1,0,0,1,1
23,远见名苑开间 适合居家 小区环境好,西城,广安门,116.34498500000001,39.891739,70,西,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",低楼层,24,链家,23天前发布,4800,,1,0,1,0,0,0,1,0,0,1,0
24,整租 ·   双井 富力城A区 精装一居，拎包入住,朝阳,双井,116.46549099999999,39.901678000000004,71,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",高楼层,28,链家,19天前发布,11000,1.0,1,1,1,0,0,1,1,0,0,1,1
25,整租 ·     后现代城C区高楼层 户型方正 带衣帽间/储物间,朝阳,大望路,116.49414499999999,39.904158,64,西,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",中楼层,27,链家,22天前发布,6800,1.0,1,1,1,0,0,1,1,0,0,1,1
26,整租 · 玉泉西路甲3号院 1室0厅 4300元,石景山,玉泉路,116.25208700000002,39.91772,39,东,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",中楼层,9,链家,20天前发布,4300,1.0,1,0,1,0,0,1,1,0,0,1,1
27,太平桥西里 1室1厅 4800元,丰台,太平桥,116.320535,39.890097999999995,49,东,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",中楼层,15,链家,21天前发布,4800,,1,1,1,0,0,0,1,0,0,1,1
28,整租 · 东晶国际 1室1厅 4800元,亦庄开发区,亦庄,116.500382,39.805889,53,西,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",高楼层,18,链家,21天前发布,4800,1.0,1,1,1,0,0,1,1,0,0,1,1
29,四平园 1室1厅 5000元,西城,陶然亭,116.386269,39.888411,48,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",中楼层,6,链家,20天前发布,5000,,1,1,1,0,0,0,1,0,0,1,1
30,整租 · 长景新园 1室0厅 3100元,房山,长阳,116.22578500000002,39.802262,49,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",中楼层,11,链家,18天前发布,3100,1.0,1,0,1,0,0,0,1,0,0,1,0
31,整租 · 新源街 1室1厅 5300元,朝阳,三元桥,116.46028000000001,39.957618,46,东南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",低楼层,16,链家,17天前发布,5300,1.0,1,1,1,0,0,0,1,0,0,1,1
32,诚心出租，领行国际朝北开间。。,东城,广渠门,116.448361,39.898946,58,北,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",中楼层,21,链家,17天前发布,6800,,1,0,1,0,0,0,1,0,0,1,1
33,整租 ·   后现代A区 开间  交通便利  看房随时,朝阳,大望路,116.493655,39.905367,51,北,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",低楼层,14,链家,16天前发布,6300,1.0,1,0,1,0,0,1,1,0,0,1,1
34,整租 · 大望路 光辉南里 南北向一居室 中间楼层,朝阳,CBD,116.479904,39.911507,59,南 北,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",中楼层,6,链家,16天前发布,5800,1.0,1,1,1,0,0,0,1,0,0,1,1
35,华业东方玫瑰D区 1室1厅 4600元,通州,临河里,116.689421,39.885738,68,西南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",中楼层,27,链家,7天前发布,4600,,1,1,1,0,0,0,1,0,0,1,1
36,整租 ·   新小区、精装修、带电梯一居，看房方便！,东城,永定门,116.41654299999999,39.869811,48,北,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",中楼层,11,链家,8天前发布,5300,1.0,1,1,1,0,0,1,1,0,0,1,0
37,整租 · 车公庄北里 1室1厅 6500元,西城,车公庄,116.35343400000001,39.940290999999995,46,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",高楼层,18,链家,16天前发布,6500,1.0,1,1,1,0,0,1,1,1,0,1,1
38,整租 ·   东二环 朝阳门 南大街 精装 一居室 可短租,朝阳,朝阳门外,116.44232199999999,39.922354,58,西北,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",高楼层,20,链家,16天前发布,7300,1.0,1,1,1,0,0,0,1,0,0,1,1
39,长椿街 1室1厅 5500元,西城,长椿街,116.370295,39.902159999999995,39,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",低楼层,6,链家,12天前发布,5500,,1,1,1,0,0,0,1,0,0,1,1
40,整租 ·   真武庙二里一居室，带电梯，视野广阔,西城,木樨地,116.350898,39.91087,49,西北,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",低楼层,18,链家,14天前发布,5800,1.0,1,1,1,0,0,0,1,0,0,1,1
41,和平街十一区 1室1厅 5100元,朝阳,和平里,116.428122,39.973788,33,北,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",中楼层,5,链家,14天前发布,5100,,1,1,1,0,0,0,1,0,0,1,1
42,整租 ·   洋桥西罗园精装一居家电全齐拎包入住,丰台,西罗园,116.39783899999999,39.868935,41,东,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",高楼层,6,链家,9天前发布,4500,1.0,1,1,1,0,0,1,1,0,0,1,1
43,远洋山水 1室0厅 5700元,石景山,鲁谷,116.24700800000001,39.906426,58,西北,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",低楼层,25,链家,14天前发布,5700,,1,0,1,0,0,0,1,0,0,1,1
44,DBC加州小镇 1室0厅 3300元,通州,临河里,116.68924399999999,39.873245000000004,43,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",高楼层,11,链家,8天前发布,3300,,1,0,1,0,0,0,1,0,0,1,0
45,清秀园北区 1室0厅 3000元,昌平,东关,116.25088600000001,40.225155,44,西,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",高楼层,19,链家,11天前发布,3000,,1,0,1,0,0,0,1,0,0,1,1
46,整租 ·    主场精装修开间 家具家电都有 随时入住,朝阳,亚运村小营,116.427702,40.007441,62,北,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",低楼层,24,链家,14天前发布,7500,1.0,1,0,1,0,0,1,1,0,0,1,1
47,整租 ·   百子湾大成国际东四环公寓开间家电家具齐全,朝阳,百子湾,116.49954,39.904937,48,东,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",低楼层,21,链家,14天前发布,5800,1.0,1,0,1,0,0,1,1,0,0,1,1
48,整租 ·   团结湖公寓精装一居室 楼层高 采光好,朝阳,团结湖,116.47761299999999,39.934452,53,西北,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",高楼层,20,链家,14天前发布,6800,1.0,1,1,1,0,0,1,1,0,0,1,0
49,安苑东里一区 1室0厅 5600元,朝阳,惠新西街,116.42013600000001,39.989832,34,北,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",低楼层,6,链家,10天前发布,5600,,1,0,1,0,0,0,1,0,0,1,1
50,整租 · 向军北里 1室1厅 6300元,朝阳,东大桥,116.46759099999998,39.931474,44,东,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",高楼层,15,链家,11天前发布,6300,1.0,1,1,1,0,0,0,1,0,0,1,1
51,整租 ·   御鑫阁一居室 精装修 家具家电齐全,丰台,科技园区,116.30514299999999,39.825059,38,东,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",低楼层,20,链家,11天前发布,4450,1.0,1,0,1,0,0,1,1,0,0,1,1
52,整租 ·   远见名苑朝南开间，看房方便达官营地铁,西城,广安门,116.34498500000001,39.891739,51,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",低楼层,24,链家,12天前发布,5300,1.0,1,0,1,0,0,0,1,0,0,1,0
53,柏林爱乐四期 1室1厅 5500元,朝阳,常营,116.59181399999999,39.929959000000004,59,南 北,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",低楼层,8,链家,12天前发布,5500,,1,1,1,0,0,0,1,0,0,1,1
54,整租 · 万年花城四期 1室1厅 5000元,丰台,玉泉营,116.321999,39.852545,53,西,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",低楼层,27,链家,8天前发布,5000,1.0,1,1,1,0,0,0,1,0,0,1,1
55,整租 ·   荣丰二期东南开间精装家具齐全拎包入住长租达官营,西城,广安门,116.343245,39.900529,29,东南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",中楼层,20,链家,11天前发布,3900,1.0,1,0,1,0,0,1,1,0,0,1,1
56,云立方 1室1厅 3500元,大兴,天宫院,116.32598899999999,39.686151,51,东南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",中楼层,21,链家,11天前发布,3500,,1,1,1,0,0,0,1,0,0,1,1
57,北京经开壹中心 1室0厅 4200元,亦庄开发区,亦庄,116.56113700000002,39.784679,44,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 0, 'bath': 1})",中楼层,11,链家,10天前发布,4200,,1,0,1,0,0,0,1,0,0,1,1
58,整租 · 安华西里社区 1室1厅 5600元,朝阳,安贞,116.40224199999999,39.973402,37,东南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",高楼层,6,链家,11天前发布,5600,1.0,1,1,1,0,0,0,1,0,0,1,1
59,建研院 1室1厅 6500元,朝阳,和平里,116.41981899999999,39.972909,41,南,"defaultdict(<class 'int'>, {'bed': 1, 'dining': 1, 'bath': 1})",高楼层,7,链家,10天前发布,6500,,1,1,1,0,0,0,1,0,0,1,1
